date,volume,turnover,open,high,low,close,change,transaction
2018-12-03,13850.986,1088593094,77.85,79.0,77.8,78.8,2.05,7537
2018-12-04,4118.284,322426648,78.5,78.5,78.1,78.25,-0.55,1960
2018-12-05,9636.366,740544550,77.1,77.2,76.65,76.65,-1.6,3602
2018-12-06,20347.421,1529965270,75.85,75.85,74.85,75.1,-1.55,10519
2018-12-07,6781.008,512288502,75.6,75.75,75.3,75.45,0.35,4623
2018-12-10,13013.284,970567677,74.5,74.9,74.45,74.45,-1.0,5810
2018-12-11,5316.228,397657901,74.5,75.1,74.45,75.05,0.6,2808
2018-12-12,8677.695,658099872,75.65,76.25,75.4,76.2,1.15,3377
2018-12-13,6253.58,476968419,76.2,76.5,75.95,76.3,0.1,2176
2018-12-14,8780.839,660320971,75.8,75.8,74.95,75.35,-0.95,3141
2018-12-17,5652.433,428269261,75.35,76.05,75.15,75.95,0.6,2331
2018-12-18,7669.001,577586400,75.5,75.55,75.05,75.3,-0.65,2456
2018-12-19,4497.46,340689657,75.5,75.95,75.35,75.9,0.6,2646
2018-12-20,9561.713,718960366,75.0,75.55,75.0,75.05,-0.85,5731
2018-12-21,8481.143,634702156,74.95,75.25,74.45,75.2,0.15,2776
2018-12-22,3002.63,224452101,74.85,74.85,74.7,74.85,-0.35,1475
2018-12-24,5952.329,444475204,74.85,75.0,74.55,74.7,-0.15,4513
2018-12-25,12071.254,888095346,74.15,74.15,73.3,73.75,-0.95,5738
2018-12-26,8919.969,658916682,74.0,74.3,73.5,73.55,-0.2,3788
2018-12-27,9615.359,719358543,74.8,75.15,74.5,75.05,1.5,5522
2018-12-28,4629.875,348222242,75.1,75.5,74.85,75.5,0.45,2008
