date,volume,turnover,open,high,low,close,change,transaction
2020-02-03,15823.593,1401640343,88.5,89.15,87.6,89.05,-0.9,7843
2020-02-04,8904.471,804708649,89.45,90.95,89.2,90.6,1.55,4851
2020-02-05,6701.508,609037681,91.0,91.3,90.3,90.85,0.25,4001
2020-02-06,10696.477,982277669,91.65,92.3,91.35,92.3,1.45,4113
2020-02-07,9554.828,871832328,91.65,91.65,90.95,91.2,-1.1,4992
2020-02-10,7308.908,661411947,90.0,91.2,89.6,91.0,-0.2,3838
2020-02-11,5115.402,468988015,91.35,91.95,91.35,91.75,0.75,3724
2020-02-12,5640.117,521567062,92.0,92.9,92.0,92.65,0.9,2845
2020-02-13,5754.317,534947681,93.0,93.25,92.7,92.8,0.15,2530
2020-02-14,4988.165,463738591,92.8,93.25,92.55,92.95,0.15,2592
2020-02-17,6266.211,578240762,92.3,92.55,91.95,92.3,-0.65,2983
2020-02-18,12529.356,1143154993,91.4,91.6,91.0,91.05,-1.25,6041
2020-02-19,7947.011,730212458,91.15,92.25,91.05,92.1,1.05,3934
2020-02-20,6538.336,599664476,92.35,92.5,91.35,91.7,-0.4,2619
2020-02-21,5401.188,493195200,91.65,91.95,90.95,91.25,-0.45,2963
2020-02-24,13571.936,1222019338,90.25,90.4,89.7,90.1,-1.15,7797
2020-02-25,8840.104,796170580,89.5,90.5,89.45,90.35,0.25,3943
2020-02-26,15256.003,1362216157,89.15,89.75,88.9,89.45,-0.9,7889
2020-02-27,24688.054,2190387154,89.35,89.5,88.35,88.65,-0.8,12829
