date,volume,turnover,open,high,low,close,change,transaction
2018-10-01,5914.234,516131207,86.9,87.4,86.9,87.35,0.45,2729
2018-10-02,5434.332,469382289,87.25,87.25,86.0,86.05,-1.3,2466
2018-10-03,4369.69,375778640,86.05,86.3,85.8,85.95,-0.1,1554
2018-10-04,9736.968,827292110,85.7,85.7,84.8,84.9,-1.05,4230
2018-10-05,26744.096,2239942717,84.5,84.5,83.0,83.45,-1.45,11367
2018-10-08,46523.204,3855479629,82.95,83.4,82.5,83.0,-0.45,16777
2018-10-09,20530.897,1706528887,83.05,83.4,82.8,83.25,0.25,9093
2018-10-11,68551.624,5389808235,80.15,80.15,77.35,77.4,-5.85,29625
2018-10-12,23183.282,1825995175,77.7,80.05,77.5,80.05,2.65,11298
2018-10-15,49299.658,3886740002,79.5,79.5,78.65,79.2,-0.85,12199
2018-10-16,16686.645,1319117765,79.0,79.5,78.6,79.3,0.1,6313
2018-10-17,20309.037,1623444090,80.45,80.5,79.35,79.4,0.1,8082
2018-10-18,7988.282,633217825,79.5,79.75,78.95,79.15,-0.25,3397
2018-10-19,12064.036,948108881,78.2,79.3,78.0,79.3,0.15,3531
2018-10-22,12453.453,979040928,78.35,79.55,78.0,79.2,-0.1,3464
2018-10-23,24898.392,1943501426,78.1,78.6,77.7,77.75,-1.45,8141
2018-10-24,13002.5,1004568676,77.8,77.95,76.7,77.4,-0.35,5533
2018-10-25,28935.886,2190854586,75.5,76.2,75.3,75.5,-1.9,7121
2018-10-26,17783.781,1338505238,76.25,76.45,74.5,75.4,-0.1,6911
2018-10-29,9883.26,747884213,75.85,76.1,75.35,75.75,0.35,3121
2018-10-30,6119.05,464489618,75.8,76.25,75.5,75.95,0.2,2313
2018-10-31,9898.224,764366541,76.6,77.55,76.6,77.55,1.6,4310
