date,volume,turnover,open,high,low,close,change,transaction
2018-11-01,6807.294,532547148,77.85,78.45,77.55,78.4,0.85,3048
2018-11-02,6722.329,527356465,78.4,78.8,78.0,78.65,0.25,3073
2018-11-05,4657.75,363054360,78.1,78.25,77.6,78.25,-0.4,2195
2018-11-06,6206.482,483978162,78.45,78.5,77.75,78.0,-0.25,2046
2018-11-07,6194.75,485644361,78.2,78.55,78.05,78.4,0.4,2594
2018-11-08,10309.985,813484895,79.15,79.4,78.5,78.85,0.45,3816
2018-11-09,36848.011,2867181167,78.5,78.5,77.65,77.8,-1.05,2930
2018-11-12,6133.26,478405835,77.75,78.3,77.55,78.0,0.2,1628
2018-11-13,10711.869,819374746,76.15,77.25,75.7,77.1,-0.9,3762
2018-11-14,6293.375,486228774,77.25,77.4,77.0,77.35,0.25,1626
2018-11-15,5694.368,440513236,77.5,77.65,76.75,77.6,0.25,1247
2018-11-16,8883.904,685298620,77.95,77.95,76.85,76.95,-0.65,2331
2018-11-19,7058.37,541993834,77.05,77.15,76.6,76.7,-0.25,1672
2018-11-20,8625.123,656617939,76.4,76.5,75.75,76.0,-0.7,3297
2018-11-21,15125.043,1143349727,75.3,76.05,74.85,76.0,0.0,3739
2018-11-22,5934.803,450631578,76.1,76.25,75.6,75.6,-0.4,2029
2018-11-23,4041.215,304440003,75.7,75.85,75.05,75.35,-0.25,2078
2018-11-26,6330.267,483137195,75.9,76.95,75.75,76.15,0.8,2266
2018-11-27,7625.933,576522804,75.95,76.05,75.2,76.05,-0.1,2519
2018-11-28,7549.76,577452117,76.15,76.95,75.75,76.9,0.85,2641
2018-11-29,8881.587,687927261,77.7,77.95,77.05,77.05,0.15,2527
2018-11-30,4210.211,324711501,77.2,77.35,76.75,76.75,-0.3,1670
