date,volume,turnover,open,high,low,close,change,transaction
2018-05-02,5513.498,439622305,80.05,80.15,79.4,79.4,-0.6,2584
2018-05-03,8823.434,694073004,79.05,79.05,78.35,78.55,-0.85,4248
2018-05-04,3475.423,273248775,78.55,79.0,78.4,78.95,0.4,1860
2018-05-07,3858.382,305849245,79.5,79.55,78.8,79.5,0.55,1752
2018-05-08,5352.116,427504370,79.4,80.05,79.35,80.0,0.5,2272
2018-05-09,3359.022,270071272,80.0,80.55,80.0,80.45,0.45,1914
2018-05-10,5977.304,481662488,80.7,80.7,80.45,80.65,0.2,3239
2018-05-11,17654.297,1436892102,81.1,81.7,81.05,81.6,0.95,6364
2018-05-14,17197.686,1414607650,82.0,82.6,81.9,82.5,0.9,6171
2018-05-15,7222.482,592065703,82.35,82.4,81.65,81.65,-0.85,2449
2018-05-16,8293.601,677320569,81.45,81.8,81.4,81.75,0.1,2922
2018-05-17,1940.778,158110701,81.95,82.0,81.2,81.2,-0.55,1009
2018-05-18,2360.712,191353462,81.2,81.5,80.85,80.95,-0.25,1051
2018-05-21,3889.661,318673185,81.2,82.1,81.2,82.05,1.1,1717
2018-05-22,1837.449,150711615,81.8,82.3,81.75,81.75,-0.3,834
2018-05-23,2124.373,173329337,81.9,82.0,81.3,81.35,-0.4,663
2018-05-24,1135.324,92525577,81.35,81.7,81.25,81.55,0.2,460
2018-05-25,3115.748,254971743,81.55,82.05,81.4,81.85,0.3,1454
2018-05-28,2940.383,241485608,82.05,82.25,82.0,82.2,0.35,1601
2018-05-29,1388.54,113427981,82.2,82.2,81.5,81.85,-0.35,580
2018-05-30,6177.819,497863690,81.4,81.4,80.3,80.4,-1.45,3017
2018-05-31,1605.922,129628697,80.8,80.95,80.55,80.75,0.35,733
