date,volume,turnover,open,high,low,close,change,transaction
2019-01-02,32900.482,7276419230,226.5,226.5,219.0,219.5,-6.0,12329
2019-01-03,34615.62,7459051790,214.0,218.0,214.0,215.5,-4.0,14549
2019-01-04,67043.521,13987136785,211.5,211.5,206.5,208.0,-7.5,28786
2019-01-07,35695.176,7591116569,212.0,214.0,211.0,213.0,5.0,11224
2019-01-08,23794.481,5019703557,212.0,212.5,210.0,211.0,-2.0,9377
2019-01-09,51255.446,11006827093,212.0,216.5,211.0,215.5,4.5,14098
2019-01-10,20832.593,4491377349,216.0,216.5,214.5,216.0,0.5,6018
2019-01-11,28658.288,6296719320,219.0,220.5,218.0,220.5,4.5,11198
2019-01-14,17612.296,3844735324,218.5,220.0,217.0,218.5,-2.0,6469
2019-01-15,42990.923,9399209983,216.5,221.0,215.5,221.0,2.5,11609
2019-01-16,30038.282,6563789758,218.5,220.0,217.5,217.5,-3.5,8950
2019-01-17,21163.986,4646131841,218.0,221.0,218.0,220.5,3.0,8288
2019-01-18,52677.569,11530053787,219.0,220.0,217.5,218.5,-2.0,15157
2019-01-21,32515.866,7208829658,220.0,223.0,220.0,221.0,2.5,10549
2019-01-22,30958.483,6854867566,220.0,223.0,219.0,223.0,2.0,8258
2019-01-23,18671.213,4121110926,221.5,222.0,220.0,220.5,-2.5,7059
2019-01-24,31348.924,6958753608,222.5,222.5,220.5,222.5,2.0,6291
2019-01-25,48039.764,10870045150,226.5,227.0,225.0,226.0,3.5,14979
2019-01-28,29134.257,6665379096,229.5,229.5,228.0,229.0,3.0,10189
2019-01-29,42566.52,9486156460,222.5,225.0,222.0,222.5,-6.5,13344
2019-01-30,51889.945,11453957730,220.5,221.5,220.0,221.0,-1.5,12858
