date,volume,turnover,open,high,low,close,change,transaction
2020-07-01,29685.342,9400765756,315.0,318.0,314.0,317.5,4.5,15617
2020-07-02,37789.178,12119073560,319.0,322.0,318.0,322.0,4.5,18355
2020-07-03,55656.987,18280314743,327.0,330.5,326.5,329.5,7.5,30235
2020-07-06,57256.22,19200718243,332.5,338.0,332.0,338.0,8.5,31866
2020-07-07,59046.323,20143258406,343.5,346.0,338.0,338.5,0.5,32076
2020-07-08,33813.218,11522915649,337.5,342.5,337.5,341.0,2.5,16673
2020-07-09,37410.376,12912747970,346.0,347.0,343.0,345.0,4.0,20205
2020-07-10,60902.108,21298923681,352.5,353.0,345.5,348.5,3.5,32227
2020-07-13,49459.523,17425372488,351.0,354.5,350.5,354.5,6.0,23217
2020-07-14,63030.15,22602878292,355.0,364.0,354.5,363.5,9.0,30996
2020-07-15,75105.362,27486789803,366.0,370.0,361.0,363.0,-0.5,37607
2020-07-16,68582.512,24506038172,359.0,361.0,353.5,357.5,-5.5,35598
2020-07-17,66403.485,24244495853,361.0,369.0,360.0,367.0,9.5,36729
2020-07-20,44940.238,16487970674,370.0,370.0,362.5,366.0,-1.0,23335
2020-07-21,64440.128,24491627162,372.5,387.0,371.5,383.0,17.0,40266
2020-07-22,43959.67,16844625030,381.0,386.0,379.0,384.0,1.0,25530
2020-07-23,45397.282,17302637512,382.0,383.0,379.0,381.5,-2.5,22916
2020-07-24,90988.734,35368857726,390.0,395.0,382.0,386.0,4.5,45099
2020-07-27,103315.64,43637877952,420.5,424.5,416.5,424.5,38.5,49294
2020-07-28,172157.746,77804668620,464.0,466.5,428.5,435.0,10.5,92239
2020-07-29,88641.166,37649278004,428.0,431.5,419.5,422.0,-13.0,53111
2020-07-30,69936.949,30329225735,436.5,441.0,428.5,434.0,12.0,36627
2020-07-31,50484.674,21567922126,426.0,432.0,425.5,425.5,-8.5,27653
