date,volume,turnover,open,high,low,close,change,transaction
2022-02-07,11096.988,1310204277,118.0,118.5,117.5,118.5,1.0,6345
2022-02-08,7055.695,834915157,118.5,119.0,118.0,118.0,-0.5,2671
2022-02-09,9533.932,1128595741,118.5,119.0,118.0,118.5,0.5,3877
2022-02-10,6645.924,790745748,119.0,119.5,118.5,119.5,1.0,3677
2022-02-11,5308.95,633348278,119.0,120.0,118.5,119.5,0.0,2571
2022-02-14,6018.505,717602142,119.0,120.0,118.5,120.0,0.5,3912
2022-02-15,5265.758,631010908,120.0,120.0,119.5,120.0,0.0,2967
2022-02-16,7266.163,875560485,120.0,121.0,120.0,121.0,1.0,4775
2022-02-17,9972.466,1211092354,121.5,122.0,121.0,121.5,0.5,6168
2022-02-18,10386.896,1267446891,121.5,123.0,121.0,122.0,0.5,4928
2022-02-21,7751.02,951678473,122.0,123.5,121.5,123.5,1.5,5164
2022-02-22,11692.66,1436978085,123.0,123.5,122.5,123.5,0.0,5576
2022-02-23,16311.578,2033455085,123.5,126.0,123.5,125.5,2.0,8265
2022-02-24,17141.004,2134237625,125.0,125.5,124.0,124.5,-1.0,8514
2022-02-25,16707.368,2082195230,124.0,125.0,124.0,124.5,0.0,6643
