date,volume,turnover,open,high,low,close,change,transaction
2022-04-01,8187.331,1035194315,126.5,127.0,126.0,127.0,0.0,2894
2022-04-06,10164.223,1284828145,127.0,127.0,126.0,127.0,0.0,5763
2022-04-07,13580.537,1723545509,127.0,127.5,126.5,127.0,0.0,5552
2022-04-08,10377.72,1322255376,127.5,128.0,126.5,128.0,1.0,4781
2022-04-11,12486.786,1610549089,128.0,130.0,128.0,130.0,2.0,6657
2022-04-12,7169.928,922519627,129.0,129.5,128.0,128.5,-1.5,2995
2022-04-13,5636.769,723132282,129.0,129.0,128.0,128.5,0.0,3479
2022-04-14,7556.797,980187865,128.5,130.0,128.5,130.0,1.5,4317
2022-04-15,3946.144,510959675,129.5,130.0,129.0,129.5,-0.5,2849
2022-04-18,5302.627,685973744,128.5,130.0,128.5,130.0,0.5,3205
2022-04-19,6415.796,834051232,130.0,130.5,129.5,129.5,-0.5,5758
2022-04-20,7058.429,917976453,129.0,131.0,129.0,131.0,1.5,4345
2022-04-21,4362.904,571549088,131.0,131.5,130.5,131.0,0.0,2467
2022-04-22,4627.462,605677024,130.5,131.5,130.5,131.5,0.5,3664
2022-04-25,7300.701,955834956,131.0,131.5,130.5,131.5,0.0,4230
2022-04-26,5457.218,719131019,131.0,132.0,131.0,132.0,0.5,3040
2022-04-27,7377.217,974625455,131.5,132.5,131.5,132.0,0.0,4652
2022-04-28,15385.289,2017820304,132.0,132.5,130.0,131.5,-0.5,6049
2022-04-29,11922.605,1555266634,131.0,131.5,129.5,131.0,-0.5,3864
