date,volume,turnover,open,high,low,close,change,transaction
2021-01-04,233726.746,22587972258,93.4,100.0,93.3,99.9,7.9,115789
2021-01-05,234178.116,24176652664,101.0,105.0,101.0,104.0,4.1,114366
2021-01-06,222119.287,23465513766,107.5,109.0,102.0,105.0,1.0,114160
2021-01-07,114653.734,12242829524,108.0,108.0,105.5,107.0,2.0,59013
2021-01-08,115547.259,12431474200,109.0,109.5,106.0,108.0,1.0,61278
2021-01-11,70525.408,7582606654,108.0,109.0,106.5,107.5,-0.5,39544
2021-01-12,106622.057,11119079660,106.5,107.0,103.0,104.0,-3.5,56730
2021-01-13,83561.136,8856217204,105.0,107.0,105.0,106.5,2.5,40226
2021-01-14,321271.715,36391347707,109.0,117.0,108.0,116.0,9.5,141468
2021-01-15,171273.151,19817867014,118.0,119.0,113.0,115.5,-0.5,86061
2021-01-18,95824.657,10843315189,115.5,116.0,111.0,114.0,-1.5,52153
2021-01-19,95320.325,10971429720,115.0,116.5,114.0,115.0,1.0,45246
2021-01-20,133839.555,15534875651,116.5,118.5,114.0,114.5,-0.5,62204
2021-01-21,88148.629,10260813496,116.5,117.5,115.0,117.0,2.5,41785
2021-01-22,222771.956,26779865039,117.5,121.5,117.0,121.5,4.5,108571
2021-01-25,144137.047,17407181744,122.0,124.0,117.5,123.0,1.5,70532
2021-01-26,129763.217,15878540462,122.5,125.0,120.0,122.0,-1.0,64483
2021-01-27,100937.464,12345781130,124.0,124.5,122.5,123.0,1.0,41497
2021-01-28,126109.713,15041934387,120.0,121.0,118.0,118.5,-4.5,67691
2021-01-29,182193.247,20945648631,119.0,120.0,111.5,111.5,-7.0,94768
